,County,num_vehicles
0,Alameda,4253
1,Alpine,1
2,Amador,7
3,Butte,56
4,Calaveras,19
5,Colusa,1
6,Contra Costa,2683
7,Del Norte,5
8,El Dorado,245
9,Fresno,282
10,Glenn,2
11,Humboldt,42
12,Imperial,18
13,Inyo,5
14,Kern,140
15,Kings,9
16,Lake,16
17,Los Angeles,15557
18,Madera,20
19,Marin,1305
20,Mariposa,5
21,Mendocino,46
22,Merced,37
23,Mono,6
24,Monterey,359
25,Napa,322
26,Nevada,88
27,Orange,8357
28,Out Of State,733
29,Placer,513
30,Plumas,2
31,Riverside,1245
32,Sacramento,763
33,San Benito,35
34,San Bernardino,852
35,San Diego,4655
36,San Francisco,1809
37,San Joaquin,336
38,San Luis Obispo,254
39,San Mateo,3843
40,Santa Barbara,604
41,Santa Clara,9175
42,Santa Cruz,464
43,Shasta,37
44,Siskiyou,14
45,Solano,283
46,Sonoma,623
47,Stanislaus,135
48,Sutter,20
49,Tehama,6
50,Tulare,74
51,Tuolumne,13
52,Ventura,1192
53,Yolo,174
54,Yuba,7
