,County,num_vehicles
0,Alameda,391
1,Butte,5
2,Calaveras,5
3,Contra Costa,264
4,El Dorado,31
5,Fresno,19
6,Humboldt,5
7,Imperial,2
8,Kern,18
9,Kings,1
10,Lake,1
11,Los Angeles,2063
12,Madera,1
13,Marin,202
14,Mariposa,1
15,Mendocino,2
16,Merced,3
17,Monterey,42
18,Napa,51
19,Nevada,7
20,Orange,880
21,Out Of State,26
22,Placer,36
23,Riverside,76
24,Sacramento,66
25,San Benito,5
26,San Bernardino,45
27,San Diego,593
28,San Francisco,284
29,San Joaquin,19
30,San Luis Obispo,41
31,San Mateo,673
32,Santa Barbara,70
33,Santa Clara,1566
34,Santa Cruz,94
35,Shasta,1
36,Solano,16
37,Sonoma,76
38,Stanislaus,9
39,Tehama,1
40,Tulare,6
41,Ventura,148
42,Yolo,14
