,County,num_vehicles
0,Alameda,10131
1,Amador,18
2,Butte,129
3,Calaveras,40
4,Colusa,2
5,Contra Costa,5779
6,Del Norte,9
7,El Dorado,534
8,Fresno,696
9,Glenn,4
10,Humboldt,89
11,Imperial,33
12,Inyo,14
13,Kern,332
14,Kings,38
15,Lake,33
16,Lassen,1
17,Los Angeles,29530
18,Madera,53
19,Marin,2303
20,Mariposa,16
21,Mendocino,100
22,Merced,75
23,Modoc,1
24,Mono,15
25,Monterey,702
26,Napa,546
27,Nevada,162
28,Orange,16704
29,Out Of State,2249
30,Placer,1111
31,Plumas,4
32,Riverside,2802
33,Sacramento,1980
34,San Benito,81
35,San Bernardino,2057
36,San Diego,10202
37,San Francisco,3936
38,San Joaquin,800
39,San Luis Obispo,652
40,San Mateo,7580
41,Santa Barbara,1157
42,Santa Clara,20087
43,Santa Cruz,976
44,Shasta,94
45,Sierra,1
46,Siskiyou,18
47,Solano,661
48,Sonoma,1238
49,Stanislaus,309
50,Sutter,48
51,Tehama,11
52,Trinity,2
53,Tulare,166
54,Tuolumne,29
55,Ventura,2526
56,Yolo,420
57,Yuba,14
