,County,num_vehicles
0,Alameda,2545
1,Amador,5
2,Butte,32
3,Calaveras,11
4,Colusa,1
5,Contra Costa,1686
6,Del Norte,3
7,El Dorado,152
8,Fresno,152
9,Glenn,3
10,Humboldt,19
11,Imperial,13
12,Inyo,4
13,Kern,80
14,Kings,6
15,Lake,6
16,Los Angeles,10456
17,Madera,15
18,Marin,891
19,Mariposa,5
20,Mendocino,26
21,Merced,19
22,Mono,5
23,Monterey,243
24,Napa,232
25,Nevada,56
26,Orange,5326
27,Out Of State,144
28,Placer,302
29,Riverside,698
30,Sacramento,421
31,San Benito,22
32,San Bernardino,452
33,San Diego,2986
34,San Francisco,1224
35,San Joaquin,176
36,San Luis Obispo,176
37,San Mateo,2594
38,Santa Barbara,370
39,Santa Clara,6030
40,Santa Cruz,353
41,Shasta,17
42,Siskiyou,9
43,Solano,160
44,Sonoma,422
45,Stanislaus,78
46,Sutter,7
47,Tehama,3
48,Tulare,38
49,Tuolumne,7
50,Ventura,802
51,Yolo,102
52,Yuba,6
