,County,num_vehicles
0,Alameda,15687
1,Alpine,1
2,Amador,33
3,Butte,197
4,Calaveras,55
5,Colusa,2
6,Contra Costa,8633
7,Del Norte,16
8,El Dorado,798
9,Fresno,1206
10,Glenn,12
11,Humboldt,133
12,Imperial,68
13,Inyo,19
14,Kern,621
15,Kings,59
16,Lake,54
17,Lassen,4
18,Los Angeles,45370
19,Madera,94
20,Marin,3194
21,Mariposa,22
22,Mendocino,138
23,Merced,162
24,Mono,21
25,Monterey,957
26,Napa,742
27,Nevada,250
28,Orange,26056
29,Out Of State,1883
30,Placer,1871
31,Plumas,6
32,Riverside,5095
33,Sacramento,3436
34,San Benito,134
35,San Bernardino,3934
36,San Diego,16220
37,San Francisco,5595
38,San Joaquin,1513
39,San Luis Obispo,986
40,San Mateo,10736
41,Santa Barbara,1637
42,Santa Clara,29439
43,Santa Cruz,1397
44,Shasta,156
45,Sierra,1
46,Siskiyou,27
47,Solano,1166
48,Sonoma,1818
49,Stanislaus,565
50,Sutter,100
51,Tehama,24
52,Trinity,3
53,Tulare,279
54,Tuolumne,52
55,Ventura,4073
56,Yolo,657
57,Yuba,46
