,County,num_vehicles
0,Alameda,717
1,Amador,2
2,Butte,10
3,Calaveras,5
4,Contra Costa,477
5,El Dorado,60
6,Fresno,36
7,Glenn,1
8,Humboldt,9
9,Imperial,3
10,Inyo,1
11,Kern,26
12,Kings,1
13,Lake,2
14,Los Angeles,3749
15,Madera,5
16,Marin,331
17,Mariposa,1
18,Mendocino,5
19,Merced,9
20,Monterey,71
21,Napa,89
22,Nevada,13
23,Orange,1716
24,Out Of State,64
25,Placer,83
26,Riverside,158
27,Sacramento,133
28,San Benito,11
29,San Bernardino,124
30,San Diego,1045
31,San Francisco,466
32,San Joaquin,40
33,San Luis Obispo,63
34,San Mateo,1031
35,Santa Barbara,122
36,Santa Clara,2321
37,Santa Cruz,143
38,Shasta,3
39,Siskiyou,1
40,Solano,36
41,Sonoma,144
42,Stanislaus,13
43,Sutter,3
44,Tehama,1
45,Tulare,10
46,Ventura,284
47,Yolo,34
48,Yuba,1
