,County,num_vehicles
0,Alameda,1287
1,Amador,4
2,Butte,17
3,Calaveras,5
4,Contra Costa,942
5,Del Norte,1
6,El Dorado,89
7,Fresno,71
8,Glenn,2
9,Humboldt,13
10,Imperial,8
11,Inyo,2
12,Kern,54
13,Kings,3
14,Lake,3
15,Los Angeles,6216
16,Madera,6
17,Marin,555
18,Mariposa,3
19,Mendocino,18
20,Merced,13
21,Mono,2
22,Monterey,147
23,Napa,149
24,Nevada,37
25,Orange,3098
26,Out Of State,95
27,Placer,186
28,Riverside,368
29,Sacramento,258
30,San Benito,13
31,San Bernardino,259
32,San Diego,1763
33,San Francisco,740
34,San Joaquin,88
35,San Luis Obispo,95
36,San Mateo,1646
37,Santa Barbara,197
38,Santa Clara,3795
39,Santa Cruz,228
40,Shasta,7
41,Siskiyou,6
42,Solano,88
43,Sonoma,263
44,Stanislaus,42
45,Sutter,6
46,Tehama,1
47,Tulare,24
48,Tuolumne,4
49,Ventura,511
50,Yolo,68
51,Yuba,2
